time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,place,horizontalError,depthError,magError,magNst,tipo sismicidad
2019-12-30T08:02:55.786Z,-56.6332,-69.528,32.6,4.3,mb,,143,0.401,0.76,us,us70006sd8,"42 km SSW of Coquimbo, Chile",4.2,6.3,0.202,7,1
2019-12-28T22:40:02.678Z,-55.361,-71.716,109.91,4.5,mb,,88,0.334,0.34,us,us70006s0c,"44 km SE of Los Andes, Chile",4.2,4.9,0.15,13,0
2019-12-26T09:28:57.875Z,-54.083,-69.534,44.48,4.3,mb,,135,0.417,0.96,us,us70006r5y,"104 km SSW of Iquique, Chile",4.4,7.6,0.177,9,1
2019-12-23T11:23:29.681Z,-53.973,-70.515,17.84,4.5,mb,,148,0.626,0.88,us,us70006q4h,"82 km W of Vallenar, Chile",5.8,4.5,0.221,6,1
2019-12-22T12:14:03.583Z,-52.992,-72.378,27.92,4.4,mb,,193,0.065,1.12,us,us70006ptj,"49 km W of Ovalle, Chile",4.6,7.9,0.268,4,1
2019-12-22T11:31:06.854Z,-52.8965,-71.2228,18.43,4.3,mb,,189,0.41,0.5,us,us70006psu,"97 km NW of Vallenar, Chile",4.7,5.4,0.266,4,1
2019-12-18T18:44:51.053Z,-52.459,-72.036,45.31,4.3,mwr,,127,0.133,0.79,us,us60006tb2,"7 km S of Coquimbo, Chile",6.3,5.2,0.056,31,1
2019-12-15T00:11:24.147Z,-52.387,-71.687,105.09,4.4,mwr,,44,0.846,0.73,us,us60006rm0,"118 km SE of Copiapó, Chile",5.1,1.6,0.051,37,0
2019-12-11T11:35:34.743Z,-52.022,-72.209,112.83,4.2,mb,,53,0.016,0.56,us,us60006q52,"31 km ESE of Puente Alto, Chile",6,4,0.214,6,0
2019-12-11T04:37:16.228Z,-51.736,-71.973,109.38,4.3,mb,,65,0.473,0.71,us,us60006q1w,"107 km ESE of Vallenar, Chile",4.8,7.1,0.201,7,0
2019-12-10T22:05:01.994Z,-51.526,-71.9,50.49,4.2,mb,,133,0.696,0.57,us,us60006py1,"28 km SW of Illapel, Chile",4.4,3.9,0.236,5,1
2019-12-09T05:04:14.525Z,-51.2106,-72.0468,110.83,4.8,mww,,84,0.699,0.93,us,us60006p43,"64 km ESE of Salamanca, Chile",6,3.5,0.08,15,0
2019-12-05T08:01:55.066Z,-50.695,-72.137,46.49,4.3,mb,,134,0.206,0.77,us,us60006mb8,"21 km NNW of La Serena, Chile",4.1,6.9,0.168,10,1
2019-12-03T08:46:35.780Z,-50.686,-72.237,38,6,mww,,82,0.258,1.38,us,us70006fh7,"29 km W of Arica, Chile",5.5,1.9,0.071,19,1
2019-12-03T07:29:30.471Z,-50.668,-72.074,10,5.3,mww,,95,0.577,1.25,us,us70006fh0,"100 km SW of Iquique, Chile",4.2,1.7,0.058,29,1
2019-12-01T03:34:56.495Z,-50.655,-72.148,10,4.2,mwr,,198,1.305,0.83,us,us70006exj,"165 km WNW of Antofagasta, Chile",7.8,1.9,,,1
2019-12-01T00:03:17.098Z,-50.63,-72.327,101.76,4,mb,,88,0.068,0.53,us,us70006ewl,"23 km E of Chimbarongo, Chile",5.1,4.4,0.258,4,0
2019-11-30T14:50:10.863Z,-50.627,-72.296,47.39,4.6,mb,,151,0.755,0.75,us,us70006esn,"48 km WSW of Santa Cruz, Chile",6.7,7.2,0.173,10,1
2019-11-30T14:46:14.747Z,-50.6218,-72.2806,10,4,mwr,,202,0.901,0.84,us,us70006esl,"94 km WNW of Illapel, Chile",4.4,1.9,,,1
2019-11-30T07:30:51.666Z,-50.542,-72.471,23.32,4.4,mb,,99,0.315,0.68,us,us70006eqd,"36 km NNW of Valparaíso, Chile",5,8.7,0.202,7,1
2019-11-29T21:07:08.688Z,-50.463,-72.226,21.41,4.4,mwr,,122,0.307,0.96,us,us70006elp,"35 km NNW of Valparaíso, Chile",4,3.7,0.04,61,1
2019-11-28T06:36:14.014Z,-50.421,-72.158,35,4.5,mb,,140,0.625,0.81,us,us70006e2s,"72 km W of Copiapó, Chile",4.1,1.9,0.124,21,1
2019-11-28T00:23:15.782Z,-50.357,-72.095,33.63,4.1,mb,,168,0.516,0.72,us,us70006e00,"22 km NW of Tocopilla, Chile",2.8,8.8,0.368,2,1
2019-11-27T14:23:38.750Z,-50.24,-71.29,39.83,4.2,mb,,183,0.116,1.06,us,us70006ds4,"58 km NW of Vallenar, Chile",5.1,10.8,0.304,3,1
2019-11-27T13:41:31.527Z,-45.815,-72.299,35.81,4.2,mwr,,123,0.306,0.94,us,us70006drf,"29 km WSW of Iquique, Chile",2.7,5.8,0.056,31,1
2019-11-26T09:31:46.732Z,-45.797,-72.267,22.88,4.7,mww,,104,0.456,0.77,us,us70006d4n,"68 km W of Vallenar, Chile",4.2,1.9,0.098,10,1
2019-11-25T09:36:14.829Z,-45.786,-72.277,18.13,4.6,mb,,99,0.618,1.01,us,us70006fke,"58 km W of Iquique, Chile",4.6,3.6,0.117,22,1
2019-11-25T09:35:24.701Z,-45.781,-72.333,10,4.1,mb,,192,0.604,1.01,us,us70006cnb,"65 km W of Iquique, Chile",5.1,1.9,0.261,4,1
2019-11-24T21:18:25.742Z,-45.772,-72.305,35,4.7,mb,,73,0.724,0.91,us,us70006cix,"35 km WSW of Illapel, Chile",2.5,1.9,0.165,11,1
2019-11-22T22:27:31.390Z,-45.761,-72.465,103.75,5,mww,,21,0.385,0.83,us,us70006bz9,"49 km ENE of Los Andes, Chile",4.8,3.3,0.086,13,0
2019-11-21T15:13:58.136Z,-45.761,-72.363,63.82,4.2,mwr,,135,0.384,0.99,us,us70006b10,"51 km SW of Copiapó, Chile",3.7,3.6,0.044,50,0
2019-11-21T04:52:19.154Z,-45.746,-72.39,128.92,4,mb,,54,0.155,0.8,us,us70006atx,"65 km SE of Palca, Peru",4.5,7,0.173,9,0
2019-11-21T01:36:27.654Z,-45.558,-72.233,55.94,4.3,mb,,167,0.096,0.58,us,us70006as5,"8 km NNW of La Serena, Chile",5,7.9,0.266,4,1
2019-11-15T17:16:42.522Z,-45.337,-72.319,13.68,5.2,mww,,62,0.629,0.69,us,us60006c5a,"74 km SW of San Antonio, Chile",3.9,2.5,0.075,17,1
2019-11-13T21:12:57.217Z,-45.313,-72.192,15.55,4.2,mwr,,160,0.987,0.86,us,us60006ba0,"90 km WNW of Iquique, Chile",5.6,5.8,0.043,51,1
2019-11-11T20:52:23.620Z,-45.239,-72.236,56.67,4.3,mwr,,141,0.76,0.64,us,us60006aci,"40 km WSW of Illapel, Chile",6.7,7.3,,,1
2019-11-11T02:19:50.673Z,-45.194,-72.327,22.47,4.1,mb,,143,0.509,0.7,us,us60006a3y,"103 km WSW of Copiapó, Chile",2.6,7.3,0.261,4,1
2019-11-10T07:21:31.112Z,-45.157,-72.321,86.26,4.7,mww,,80,0.484,1.06,us,us600069w3,"37 km NE of Vallenar, Chile",4.3,4.3,0.083,14,0
2019-11-10T05:22:49.615Z,-43.548,-72.439,17.3,4,mb,,186,0.563,0.62,us,us600069vp,"109 km SW of Taltal, Chile",2.6,6.1,0.231,5,1
2019-11-04T23:07:11.910Z,-43.4442,-72.034,35,4,mb,,105,0.769,1.03,us,us70006363,"41 km WSW of Illapel, Chile",3.2,2,0.3,3,1
2019-11-04T21:53:25.320Z,-43.116,-71.786,53,6.1,mww,,23,0.707,1.14,us,us70006345,"29 km SW of Illapel, Chile",4.7,1.8,0.057,30,1
2019-11-04T13:03:39.631Z,-42.978,-71.56,31.02,5.1,mww,,133,0.558,0.63,us,us700062vm,"81 km NNW of Tocopilla, Chile",5.2,4.1,0.08,15,1
2019-11-04T09:19:56.392Z,-42.899,-72.438,50.64,4.2,mwr,,113,0.296,1.11,us,us700062ua,"55 km SSW of Taltal, Chile",5.1,5.8,,,1
2019-11-04T02:20:13.141Z,-42.874,-70.341,112.22,4,mb,,54,0.834,1.22,us,us700062ry,"34 km SW of Calingasta, Argentina",6.2,7.4,0.211,6,0
2019-11-03T08:06:10.445Z,-42.837,-72.439,10,5.2,mww,,84,0.416,0.72,us,us700062hv,"88 km W of Ovalle, Chile",4.5,1.8,0.06,27,1
2019-11-02T14:50:21.898Z,-42.834,-72.467,35,4.2,mb,,194,1.026,0.58,us,us700062be,"84 km W of Illapel, Chile",8.5,2,0.304,3,1
2019-11-01T23:43:28.467Z,-42.832,-72.244,37.04,4.1,mb,,144,1.048,0.7,us,us70006277,"100 km NNW of Coquimbo, Chile",6.7,10.4,0.197,7,1
2019-10-31T22:09:14.658Z,-42.82,-72.41,45.85,4.5,mwr,,66,0.324,0.66,us,us700061ti,"30 km NW of La Ligua, Chile",4.1,4.7,0.048,41,1
2019-10-29T08:15:45.403Z,-42.816,-72.39,35,4.4,mwr,,67,0.369,1.42,us,us600064a3,"61 km NNW of Antofagasta, Chile",5.9,1.9,0.045,47,1
2019-10-27T08:33:52.773Z,-42.813,-72.354,12.12,4.6,mb,,139,0.848,0.98,us,us600063iz,"92 km NNW of La Serena, Chile",4,1.8,0.125,19,1
2019-10-23T23:57:21.538Z,-42.803,-72.489,25.61,4.2,mb,,177,0.359,0.8,us,us6000621i,"91 km W of Diego de Almagro, Chile",5.2,8.3,0.305,3,1
2019-10-23T20:33:29.875Z,-42.802,-72.494,21.52,4.1,mb,,171,0.792,0.72,us,us600061zg,"73 km WNW of Illapel, Chile",3.7,5.8,0.197,7,1
2019-10-23T18:43:50.210Z,-42.788,-72.408,22,4.6,mb,,123,0.763,0.83,us,us600061xj,"67 km WNW of Illapel, Chile",4.4,4.2,0.129,18,1
2019-10-21T12:02:43.140Z,-42.784,-72.246,46.52,4.5,mb,,68,0.262,0.83,us,us70005wpj,"17 km SW of Ovalle, Chile",2.9,6.3,0.192,8,1
2019-10-18T02:28:12.338Z,-42.783,-72.393,104.15,4.5,mb,,46,0.669,0.83,us,us70005v95,"119 km NE of Vicuña, Chile",5.7,5.9,0.108,25,0
2019-10-17T13:44:31.298Z,-42.78,-72.467,29.27,4.4,mwr,,165,1.061,0.7,us,us70005uzj,"104 km WNW of Santa Cruz, Chile",5.5,6.9,0.041,56,1
2019-10-11T06:11:49.907Z,-42.766,-72.266,10,4.3,mb,,133,0.522,0.58,us,us70005tbi,"98 km W of Ovalle, Chile",4.6,1.9,0.218,6,1
2019-10-11T02:55:41.000Z,-42.763,-72.386,36.3,4.7,mww,,,,1.62,us,us70005tad,"85 km NNW of La Serena, Chile",6.5,3.7,0.093,11,1
2019-10-08T14:04:08.853Z,-42.737,-72.466,35,4.2,mb,,185,0.696,0.73,us,us70005rxg,"80 km WNW of Copiapó, Chile",3.7,2,0.372,2,1
2019-10-06T16:19:16.404Z,-42.707,-72.456,15.39,4.3,mb,,169,0.625,0.92,us,us70005rcg,"103 km SW of Tocopilla, Chile",6,2.8,0.377,3,1
